Games with Regional Prices in CAD,USD,CAD,UAH,TRY,ARS,BRL,AUD,JPY,KRW,CNY,PLN,MXN,INR,SAR,ZAR,PHP,VND,IDR,KZT,MYR,CLP,TWD,Lowest Regional Price
Stellar Blade,82.312279,79.99,65.63642128639185,82.312279,82.312279,61.747094415731766,98.2560863618601,73.63541539870704,61.960126667246236,51.21772800713132,112.34094580903093,73.17612735493996,76.37038321423975,109.40210666666668,100.70728992451295,71.86764695577838,NA,73.91352213532068,72.05093321770403,80.46654419557692,59.768287198753455,69.68369423321415,CNY
Black Desert,13.707279000000002,12.99,4.892359565619003,6.846779000000001,4.925839,4.314142731087141,11.608427119968738,8.304746097598537,NA,NA,16.907500205372546,15.309119736919374,NA,9.129038666666668,6.124615784477694,4.565638641889667,4.2084106248780895,4.120237396027961,4.889345087811624,5.0089615864716555,5.865830472220518,9.353516004458276,IDR
Phasmophobia,27.428279,25.99,13.626370602227421,14.393329000000001,14.393329000000001,14.822761880751294,26.362478832877425,21.223240027196265,21.21246374754449,14.524430330380524,34.56268764204935,16.70012540105382,14.0041544547887,14.983332,14.342454685169283,14.782141430703582,13.677334530853791,13.958556042026276,13.381365503484446,15.83478178949104,14.942071799688364,15.339766247311573,KZT
NBA 2K25,13.432859,12.59,9.160861200051688,13.432859,13.432859,12.102331670598405,12.502070470235768,11.368274658046,11.464596685882185,7.973147807677309,16.779754648265286,12.203346163496496,8.895820841166914,13.318517333333334,13.556333114857841,9.82591775101077,8.91657001146045,9.406105331122834,9.00411498013309,10.812893850538169,12.549917257281113,13.656133366509083,CNY
Fallout 76,54.870279000000004,54.99,17.500856701174015,32.916679,32.916679,38.29851794493167,49.10570209717337,44.291979187192204,43.90486682631302,31.533302690957715,63.83520633095102,52.66630187007191,39.768615889223824,53.05453333333333,45.66327464629571,44.34642429211074,47.3446195298785,44.7349189715479,34.74008351866154,51.05909230080785,38.136436396176045,56.074328446727364,UAH
FINAL FANTASY XIV Online,27.428279,24.99,10.244403922638448,21.939879,21.939879,13.09315139291567,25.870974990230557,22.330539506876068,NA,NA,15.776576302746518,20.1435786012097,11.442030742037586,15.001626666666668,11.163856619807442,NA,NA,NA,10.151824406008872,NA,16.29397353394588,NA,KZT
Split Fiction,68.59127900000001,64.99,42.6521817163697,68.59127900000001,68.59127900000001,49.1703552970413,62.510352351178845,63.66972008158879,55.25106836569728,37.83996322914926,82.62131767025384,65.85118968177281,39.768615889223824,69.15384,62.0175493264928,60.06596981354187,47.29201439706753,47.846182133102914,46.31753801869549,51.38225111283827,63.89514512438167,70.10460245341478,CNY
Persona 3 Reload,43.207429,42.07,29.51833053349989,43.207429,37.032979,33.344419333345336,43.40425752246971,40.194971112376926,35.42974758950338,25.627975096105633,50.55342561406392,36.225479262648214,31.493433711394136,NA,45.318280466030835,30.231281925963298,28.406771717927104,29.47711625089495,40.53009743843846,34.75573023387268,33.93273352986371,39.75244301894767,CNY
F1 25,82.312279,79.99,49.21910730780459,82.312279,82.312279,61.52471592443861,80.38321935651948,77.51096357758635,65.1173305738575,56.951055769123634,101.40742900955667,80.50106502810715,47.72552182944467,83.78957333333334,77.52290574289202,72.0839709767155,52.55252767816514,55.41411955310163,77.19761225750574,64.30860359405546,76.70263523840026,84.13487646010219,INR
Risk of Rain 2,11.306104000000001,9.56,3.5461398193748477,5.653052000000001,5.653052000000001,4.889855936323856,10.598610134166991,7.824916323070622,8.465252974601475,5.045328430553234,11.15519291327802,5.655584377452368,3.771573415664684,8.6936256,6.882052445418796,4.362053702185505,3.813872128795768,3.3298083766058744,2.8023667371720307,4.6922659506818345,5.635295650168183,9.072910524324527,KZT
BeamNGdrive,27.428279,23.99,13.5278667183559,13.707279000000002,10.963079,11.85771533017594,26.094385827797318,20.66959028735636,21.31112636962609,10.39643434174606,27.04824310632821,16.582926398283142,14.0041544547887,15.071146400000002,14.264927903087285,14.71003342372454,13.519519132420863,13.92492076460406,10.290784740083518,15.770150027084952,14.799766353977045,15.24623108726699,KZT
Stardew Valley,20.567779,16.99,7.519129802192963,8.218879000000001,6.846779000000001,6.174709441573176,15.183000521036861,13.656693582717596,15.786019533056365,9.173324419187699,20.2852430241792,10.986674015983432,7.622715890731577,17.196986666666668,12.326758351037384,10.093919176949543,8.679846913811058,9.75414636424922,6.176014847762051,10.017923172943311,10.672908428348832,18.61349684887197,BRL
Factorio,48.023500000000006,45.0,9.850388387152355,23.3257,23.3257,25.20042480776503,44.68216751335157,36.9099826559935,39.46504883264091,24.844420301966686,48.84388948218736,29.29975069266866,23.87071782066256,43.9072,23.25803462459884,24.036002326347287,23.67230976493925,25.22645806666235,20.58671615920684,27.4684990225865,25.614980228037194,28.060548013374827,UAH
No Mans Sky,32.916679,31.189999999999998,14.77558258072853,32.916679,32.916679,16.011251373106916,31.438373062394163,23.991488726395776,24.862980764563773,13.377764777982062,41.32568772419836,18.01861418222391,15.277259405224036,16.823775466666667,15.474345703566424,16.056049553999987,14.834647452695265,15.135790751803853,14.410701311444788,17.192048800018846,16.222820811090223,16.789561228002604,CNY
Persona 5 Royal,32.916679,31.99,24.921482619495453,32.916679,27.977119000000002,24.698837766292705,33.94057444314185,28.33763918413901,27.546604085183358,20.48709120285253,38.92482269503546,29.27045094197599,27.992395097696964,36.589333333333336,33.15045201826154,30.71801097307183,29.03803331165882,26.84095138292874,30.88007423881026,32.57440825266728,27.316953358744552,33.48558729596063,CNY
DayZ,34.288779,33.99,19.66794214634753,34.288779,34.288779,18.529070068970487,31.268580825843433,28.605236558394964,29.10547351407267,22.837755585269377,35.68985432240751,25.60065716771924,27.833256978892546,34.57692,27.095610337657646,28.83118479045357,28.932823046036866,27.32857881735732,23.03138870311265,27.465267434466192,23.480398542367425,35.02891743669625,BRL
